id,given_name,surname,street_number,address_1,suburb,postcode,state
4606,ebony,ferris,33,dunbar street,wetherill park,2515,wa
2353,kobe,hoerner,66,tanderra crescent,werrington,2767,nsw
655,riley,morcom,48,newbery crescent,grass valley,3156,nsw
8876,thomas,white,706,monaro crescent,point lonsdale,2088,wa
8484,lauren,crea,18,cith walk,athol park,3081,vic
5165,maddison,bullock,57,dexter street,dareton,6230,nsw
7563,bayley,wickel,27,rushbrook circuit,port elliot,2487,nsw
6530,caitlin,quill,5,mount vernon drive,plumpton,2705,vic
9488,henry,bloomfield,97,mcdougall wtreet,rosegud,4563,ws
5292,bailry,moyse,28,heagney crescent,surrey hills,5107,qld
1881,max,white,34,ogilby crescent,tabacum,2029,wa
10313,christian,berryman,3,cox street,sunshine,2153,qld
10909,lucy,webb,5,rischbieth crescent,pimlico,2619,qld
9516,bianca,wyllie,4,folingsby street,woodcroft,3196,sa
6316,samantha,barol,11,albermarle place,clayton,3199,sa
9371,kylvie,koziol,16,wolffcrescent,kurrajong heights,3153,vic
6878,eboni,pantazooulos,20,allottj place,aldgate,2235,sa
5758,ella,needham,54,shipard place,phillip,7018,vic
3014,tynan,blackwell,16,gamor street,cronulla,4500,qld
3574,marcus,tinsley,93,napier close,mooloolaba,2261,vic
4513,brooklyn,sreenatha,22,ross street,parndana,2482,qld
4871,chloe,kilby,204,pennefather street,manly vale,4306,nsw
6196,kylie,dixon,4,sanford xplace,phillip,5047,sa
3871,benjamin,wynne,42,buller crescent,lyonville,3219,qld
8583,amy,beckwith,68,barkooo,blackheath,2036,qld
1408,kirra,gaskni,15,lawley xtreet,auburn,4034,vic
10857,dylan,webb,10,morrison street,goonellabah,6343,qld
1593,hattie,heesemans,181,cameron street,wyoming,3400,tas
4117,joshua,jiang,4,leahy close,cleveland,4807,wa
9075,david,sokic,11,gurubun close,dianella,3042,UNKNOWN
2781,aluce,morrison,135,rosebery street,port macquarie,5075,vic
